time;cc;earfcn;pci;rsrp;pl;cfo;pci_neigh;rsrp_neigh;cfo_neigh;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;distance_km;speed_kmph;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;sys_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11;cpu_12;cpu_13;cpu_14;cpu_15;cpu_16;cpu_17;cpu_18;cpu_19;cpu_20;cpu_21;cpu_22;cpu_23;cpu_24;cpu_25;cpu_26;cpu_27;cpu_28;cpu_29;cpu_30;cpu_31
69965;0;368640;1;-5.6;0.0;6.1;n/a;n/a;n/a;25;18;3.6;2289.097168;0;0.0;0.0;0.0;28;0.0;17176.123047;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.95;19;0.0;0.50;0.0;0.0;0.0;0.0;7.0;0.0;0.50;0.0;0.50;0.50;3.5;0.0;0.50;0.0;0.0;2.0;0.0;0.0;1.00;12;0.0;0.50;1.00;15;0.0;0.0;1.5;1.00;1.5;0.0
71964;0;368640;1;-5.7;0.0;-3.3;n/a;n/a;n/a;25;18;3.8;2295.893066;0;0.0;0.0;0.0;28;0.0;19380.503906;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.97;19;0.50;0.0;0.50;0.0;0.0;0.0;6.5;0.0;1.00;2.0;0.50;0.50;4.0;0.50;1.00;0.50;0.0;1.5;0.0;0.0;1.00;12;0.50;0.0;0.50;15;0.50;0.50;2.0;1.5;1.00;0.50
73963;0;368640;1;-5.6;0.0;0.28;n/a;n/a;n/a;25;18;3.4;2298.167480;0;0.0;0.0;0.0;28;0.0;17244.179688;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.97;19;0.50;0.50;0.0;1.00;1.00;1.00;1.00;0.50;1.00;3.0;0.50;0.50;4.0;0.50;1.00;0.50;0.50;2.0;0.50;0.0;0.50;12;7.5;0.50;0.50;13;0.50;1.5;2.0;1.5;1.5;0.50
75962;0;368640;1;-5.6;0.0;8.3;n/a;n/a;n/a;25;18;3.8;2293.623291;0;0.0;0.0;0.0;28;0.0;19361.343750;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.97;19;0.0;2.0;0.95;0.0;0.0;0.0;0.45;0.0;0.45;15;0.45;0.0;3.5;0.0;0.45;0.0;0.0;0.0;0.0;0.0;0.0;12;7.0;0.0;0.45;0.0;0.45;0.0;0.95;0.95;0.95;0.0
77961;0;368640;1;-5.6;0.0;-3.8;n/a;n/a;n/a;25;18;3.4;2292.490234;20;0.0;0.0;0.0;28;0.0;21501.976562;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.97;19;1.00;1.00;1.5;0.0;0.50;0.50;3.0;0.0;1.00;7.5;0.0;0.50;4.0;0.0;0.0;0.50;0.0;1.5;0.0;0.50;0.0;12;4.5;0.0;0.50;10;1.00;0.50;1.5;1.5;1.5;0.50
79960;0;368640;1;-5.7;0.0;14;n/a;n/a;n/a;25;18;4.4;2287.968506;0;0.0;0.0;0.0;28;0.0;21459.566406;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.95;19;0.0;0.95;0.0;0.0;0.0;0.0;0.0;0.0;0.95;0.45;0.45;0.95;3.5;0.45;0.45;0.0;0.0;2.0;0.45;0.0;0.0;12;7.0;0.0;0.0;15;0.0;0.0;0.45;1.5;0.95;0.0
81959;0;368640;1;-5.6;0.0;7.9;n/a;n/a;n/a;25;18;4.0;2284.588867;0;0.0;0.0;0.0;28;0.0;17142.294922;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.98;19;0.50;0.50;0.0;1.00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.00;3.5;0.0;0.50;0.0;0.0;1.5;0.0;0.0;0.0;12;7.0;0.0;0.50;15;0.0;0.0;0.0;1.00;1.00;0.0
83958;0;368640;1;-5.6;0.0;8.5;n/a;n/a;n/a;25;18;4.8;2290.227051;0;0.0;0.0;0.0;28;0.0;19332.675781;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.95;19;0.50;1.00;0.0;0.50;0.0;0.0;0.0;6.5;2.0;1.00;0.50;1.00;3.5;0.50;0.50;0.50;0.0;2.5;0.0;0.0;0.50;12;0.50;0.50;0.0;15;0.50;0.50;0.50;1.5;1.5;0.0
85957;0;368640;1;-5.6;0.0;9.7;n/a;n/a;n/a;25;18;4.6;2291.357910;0;0.0;0.0;0.0;28;0.0;21491.357422;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.95;19;0.0;1.00;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.50;3.5;0.0;0.50;0.50;0.0;1.5;0.0;0.0;0.0;12;0.0;0.0;1.5;15;0.0;0.50;0.0;1.00;1.00;0.0
87956;0;368640;1;-5.6;0.0;8.2;n/a;n/a;n/a;25;18;3.4;2285.714355;0;0.0;0.0;0.0;28;0.0;15006.896484;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.97;19;0.45;0.45;0.0;0.95;0.0;0.0;0.0;4.5;0.45;11;0.45;0.45;3.5;0.45;0.45;0.0;0.45;2.5;0.0;0.0;0.0;12;0.0;3.0;2.0;7.0;0.45;0.45;0.45;0.95;0.95;0.0
