time;cc;earfcn;pci;rsrp;pl;cfo;pci_neigh;rsrp_neigh;cfo_neigh;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;distance_km;speed_kmph;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;sys_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11;cpu_12;cpu_13;cpu_14;cpu_15;cpu_16;cpu_17;cpu_18;cpu_19;cpu_20;cpu_21;cpu_22;cpu_23;cpu_24;cpu_25;cpu_26;cpu_27;cpu_28;cpu_29;cpu_30;cpu_31
16966;0;368500;1;-24;0.0;-126;n/a;n/a;n/a;20;2.4;5.0;8675.834961;82;0.0;0.0;0.0;28;90;51300.589844;0;0.0;6.0;0.0;0.0;1.2;751492;1680460;20;0.94;20;4.0;2.0;0.0;6.0;0.0;12;8.0;14;4.0;2.0;2.0;2.0;0.0;4.0;0.0;4.0;2.0;2.0;0.0;0.0;2.0;8.0;2.0;4.0;16;4.0;2.0;2.0;0.0;2.0;6.0;18
17465;0;368500;1;-34;0.0;-17;n/a;n/a;n/a;20;-3.4;8.0;1445.972534;86;0.0;0.0;0.0;28;90;51300.589844;50;0.0;4.0;0.0;0.0;1.2;751492;1680460;20;1.1;20;3.8;0.0;0.0;3.8;0.0;18;7.8;12;0.0;1.8;0.0;0.0;1.8;1.8;0.0;22;3.8;1.8;0.0;0.0;3.8;0.0;1.8;3.8;22;5.8;0.0;5.8;1.8;1.8;3.8;0.0
17964;0;368500;1;-27;0.0;-77;n/a;n/a;n/a;20;1.3;3.0;2886.274414;90;0.0;0.0;0.0;14;0.0;34588.234375;0;0.0;6.0;0.0;0.0;1.2;751492;1680460;20;0.94;20;6.0;0.0;0.0;4.0;4.0;20;6.0;12;14;2.0;2.0;0.0;0.0;2.0;0.0;6.0;4.0;4.0;0.0;0.0;0.0;2.0;2.0;6.0;6.0;4.0;0.0;4.0;0.0;0.0;4.0;14
18463;0;368500;1;-30;0.0;28;n/a;n/a;n/a;20;-1.4;3.5;4312.500000;86;0.0;0.0;0.0;28;90;34000.000000;0;0.0;4.0;0.0;0.0;1.2;751492;1680460;20;1.0;20;4.0;0.0;0.0;4.0;2.0;18;8.0;12;22;2.0;2.0;2.0;2.0;2.0;0.0;20;2.0;2.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;4.0;0.0;4.0;2.0;0.0;6.0;4.0
18962;0;368500;1;-27;0.0;-11;n/a;n/a;n/a;20;-0.0048;8.3;2880.626221;93;0.0;0.0;0.0;28;0.0;51099.804688;0;0.0;6.0;0.0;0.0;1.2;751492;1680460;20;0.94;20;3.8;1.8;0.0;3.8;1.8;18;7.8;12;12;3.8;1.8;0.0;0.0;1.8;0.0;5.8;3.8;0.0;1.8;0.0;0.0;0.0;1.8;5.8;7.8;3.8;1.8;1.8;0.0;0.0;3.8;12
19461;0;368500;1;-33;0.0;1.9;n/a;n/a;n/a;20;-1.0;3.0;1451.676514;67;0.0;0.0;0.0;28;90;42919.132812;0;0.0;4.0;0.0;0.0;1.2;751492;1680460;20;1.0;20;4.0;4.0;0.0;6.0;2.0;20;6.0;10;4.0;4.0;2.0;0.0;0.0;4.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;20;0.0;0.0;4.0;0.0;4.0;4.0;20
19960;0;368500;1;-28;0.0;28;n/a;n/a;n/a;20;-0.34;4.9;9409.001953;79;0.0;0.0;0.0;11;0.0;120156.554688;72;0.0;5.0;0.0;0.0;1.2;751492;1680460;20;0.94;20;5.8;1.8;0.0;3.8;1.8;3.8;7.8;14;1.8;3.8;1.8;0.0;0.0;1.8;0.0;18;3.8;0.0;0.0;0.0;0.0;16;1.8;5.8;22;0.0;1.8;1.8;0.0;0.0;5.8;3.8
20459;0;368500;1;-31;0.0;-101;n/a;n/a;n/a;19;-1.5;2.0;1304.854370;92;0.0;0.0;0.0;28;0.0;16900.970703;0;0.0;2.0;0.0;0.0;1.2;751492;1680460;20;1.0;20;4.0;2.0;2.0;4.0;2.0;18;8.0;12;0.0;6.0;0.0;0.0;0.0;0.0;4.0;2.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;20;2.0;2.0;2.0;2.0;0.0;0.0;20
20958;0;368500;1;-29;0.0;-126;n/a;n/a;n/a;20;0.26;4.0;7229.862305;64;0.0;0.0;0.0;8.0;0.0;54176.816406;71;0.0;3.0;0.0;0.0;1.2;751492;1680460;20;1.0;20;6.0;4.0;0.0;6.0;2.0;0.0;8.0;12;2.0;4.0;0.0;0.0;2.0;0.0;6.0;22;2.0;0.0;0.0;0.0;0.0;20;2.0;6.0;20;2.0;0.0;4.0;0.0;4.0;0.0;2.0
21457;0;368500;1;-31;0.0;16;n/a;n/a;n/a;20;-3.1;4.7;2886.274414;89;0.0;0.0;0.0;28;90;25600.000000;0;0.0;3.0;0.0;0.0;1.2;751624;1745996;20;0.81;20;1.8;1.8;0.0;1.8;3.8;0.0;5.8;9.8;0.0;3.8;0.0;0.0;0.0;1.8;3.8;5.8;3.8;0.0;0.0;0.0;0.0;16;1.8;3.8;16;3.8;3.8;1.8;1.8;1.8;1.8;14
21956;0;368500;1;-27;0.0;-131;n/a;n/a;n/a;20;0.92;3.0;4203.921387;86;0.0;0.0;0.0;23;0.0;78478.429688;27;0.0;6.0;0.0;0.0;1.2;751624;1745996;20;1.0;20;5.8;1.8;0.0;0.0;1.8;0.0;7.8;12;1.8;5.8;0.0;0.0;0.0;0.0;3.8;20;1.8;0.0;0.0;3.8;0.0;20;1.8;3.8;20;1.8;0.0;1.8;0.0;1.8;0.0;1.8
22455;0;368500;1;-30;0.0;105;n/a;n/a;n/a;20;-0.22;4.6;5772.548828;69;0.0;0.0;0.0;28;180;25145.097656;80;0.0;3.0;0.0;0.0;1.2;751624;1745996;20;1.0;20;4.0;2.0;2.0;0.0;2.0;0.0;6.0;12;0.0;4.0;0.0;0.0;0.0;0.0;4.0;22;4.0;0.0;0.0;6.0;0.0;18;2.0;6.0;20;2.0;2.0;4.0;2.0;4.0;4.0;2.0
22954;0;368500;1;-32;0.0;-26;n/a;n/a;n/a;13;-1.8;3.5;3146.245117;75;0.0;0.0;0.0;9.9;90;115525.695312;70;0.0;5.0;0.0;0.0;1.2;751624;1745996;20;1.0;20;5.8;3.8;0.0;0.0;1.8;0.0;7.8;12;0.0;3.8;0.0;0.0;0.0;0.0;0.0;20;3.8;0.0;0.0;3.8;0.0;20;1.8;3.8;22;1.8;1.8;1.8;1.8;1.8;3.8;3.8
23453;0;368500;1;-28;0.0;20;n/a;n/a;n/a;20;-0.71;3.3;2897.637695;91;0.0;0.0;0.0;28;90;34267.714844;0;0.0;3.0;0.0;0.0;1.2;751624;1745996;20;1.0;20;4.0;2.0;0.0;0.0;2.0;18;8.0;12;2.0;2.0;2.0;2.0;2.0;2.0;6.0;18;4.0;0.0;0.0;4.0;0.0;4.0;2.0;6.0;20;4.0;4.0;6.0;2.0;6.0;2.0;4.0
23952;0;368500;1;-29;0.0;40;n/a;n/a;n/a;20;-0.44;4.0;1440.313110;94;0.0;0.0;0.0;28;0.0;59616.437500;0;0.0;7.0;0.0;0.0;1.2;751624;1745996;20;1.0;20;4.0;2.0;2.0;6.0;2.0;18;8.0;12;20;2.0;0.0;2.0;0.0;0.0;4.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;4.0;2.0;2.0;0.0;2.0;0.0;22
24451;0;368500;1;-31;0.0;78;n/a;n/a;n/a;0.0;-1.1;0.0;0.0;100.000000;0.0;0.0;0.0;28;90;34133.332031;0;0.0;3.0;0.0;0.0;1.2;751624;1745996;20;0.94;20;5.8;3.8;0.0;3.8;3.8;20;5.8;12;16;0.0;0.0;1.8;0.0;0.0;3.8;22;3.8;0.0;1.8;0.0;0.0;0.0;1.8;5.8;5.8;3.8;0.0;3.8;1.8;3.8;0.0;0.0
